id,saleprice
2658,143486.80875433676
2718,166519.32178612088
2414,214229.9534403267
1989,110936.7335894871
625,192412.95973981876
333,70362.65596396111
1327,98629.33708692456
858,139539.43131538364
95,170430.5157670797
1568,184466.49727974844
2482,138912.34692663373
1364,141570.5223320818
2584,150611.4300533385
818,280566.70661165565
2673,198062.4396467753
2089,133647.448499599
1297,133105.91473771175
790,121180.64775647427
2616,202695.29258692206
720,166312.97474856762
222,158098.5179384019
557,136109.97123103368
1148,183661.51829083695
2766,171572.73796636617
534,181597.82057342422
1452,111825.71163342823
630,111489.5576386594
2648,106859.234377956
125,147434.17548398516
1904,29679.429509678288
1670,88277.91327802367
756,84112.40515406699
717,248067.79160994492
1032,140904.33699345723
852,216395.78791593196
1731,183332.51702496604
2639,110164.17283506886
2071,89282.59815023335
1267,122277.52009459576
1851,217045.57073863613
567,144513.63784711217
2439,208610.2628621527
1898,160775.9995401299
647,162669.11967758468
2256,218307.97803449404
979,82881.4679723584
1444,218650.4841689975
2485,120192.50073164958
157,144926.10802177922
88,115692.94173222262
2003,101261.48464844159
186,219187.3278038411
1425,241365.09022609296
2695,120768.52086020111
738,113631.5146711019
395,167753.75244288408
1353,185654.403563479
1878,142548.14375340595
390,162922.10107986428
1456,239427.14374542056
1103,319850.19374543347
1387,138405.93431668016
2070,155716.7416973855
1199,167443.04328026343
2479,169843.3881536368
501,316461.0243500713
2362,69620.80244543395
1718,222062.59435967536
2188,66480.70025647839
1483,136544.67478627694
2557,104135.51971733452
437,338600.4718997541
2224,195593.78944922434
1628,167156.0812356523
397,128813.25210796601
587,176992.16463369012
2182,535817.3419908687
971,153070.1108823258
2611,140495.5083915139
1887,93057.44480764554
2399,364057.31168079725
2148,199380.5128753268
304,141893.32239211327
1997,117118.66242063628
2817,125385.48158953333
1431,230287.13574905007
427,322434.98426145874
263,113885.94509238855
598,161586.2418967238
2895,262663.76521301275
687,159523.58295096905
1822,143291.43295558167
2191,105630.4815774246
179,127947.89775682251
1009,208939.02723169484
2010,142028.10202537847
1991,131555.9025793021
1411,213832.12782896822
1721,255610.69700141993
1144,192568.49733342993
593,220811.73538843775
575,312083.5362927791
1249,172382.74018845748
1604,136196.46095750568
1064,460039.269898939
1923,143399.1647374468
1988,106770.25169858124
2325,172864.04972260605
114,193376.12202540075
2700,183781.55804463194
217,128676.45516448752
343,192804.06080053415
386,221444.198810591
2005,109157.01697664463
2908,130959.2435232517
1814,243687.15588261708
2446,458260.3898755998
208,132151.0760477505
1679,99655.39665461183
822,300218.5222155937
6,192598.4654852344
1781,394413.3215205342
2397,320786.7131182399
2340,286342.92771384056
1618,172009.5873603894
2843,153423.5625167676
1061,369520.6755338558
2786,115470.50124002495
1935,135159.95327128773
1341,125220.37536041245
521,262375.8639053889
2136,130617.80246005597
996,201167.82516300806
227,129833.6805414283
135,158177.08970266182
1167,171457.9259390273
294,213577.66314336413
1776,213427.69304765202
540,169102.54874078563
1717,230143.17180944956
2303,139722.36714355624
116,183426.9326845154
127,152795.24665796108
1371,143029.10219451287
1014,145658.05071962334
1507,80705.89587649764
702,133004.39155834078
750,156478.32955320363
261,145295.2846646782
1559,54275.51090912697
577,225355.77522636633
2812,198886.55726655343
2080,149385.3861190648
1368,121960.0653240665
2376,108478.2064214003
659,114140.22305613583
1235,142399.0561329774
332,50244.245838810195
1917,161394.06473419754
2094,228105.60902371095
1460,270116.30180494755
1471,223815.77247336495
1509,116149.78251131423
1922,136342.7854617975
433,448088.88662222197
460,273960.74997866666
1116,262003.91368656792
1137,168937.0959792671
53,171167.7045756282
2354,268569.63937673776
1475,189731.33719580795
1761,414032.23387016664
842,149729.6265556901
2739,161080.1544724964
2509,150641.45115784195
1007,214295.8807195409
2610,187166.40423331514
1952,77071.25356949875
2719,164770.20846968767
2921,71929.55238429375
1966,151398.3922218034
292,119696.37227348074
1204,191141.02036587798
1829,253061.84716844035
2419,199612.89958340445
391,146057.04221227573
798,119058.47851082047
481,204741.28208331962
193,213538.87358853547
555,133692.3120696317
899,49430.62589106003
2357,193496.1440699454
328,145500.9237533497
1356,146433.29532337395
1154,121607.61627774856
1730,169389.18478619875
2249,176192.02854011013
1119,298905.4624813304
2856,145705.76541647443
1394,134651.11495057817
2587,114649.18661405279
61,307284.9395943474
2661,190739.2475201394
2711,130000.28273672205
1147,167076.8870523043
757,134103.24652596703
2623,97527.77450711674
2378,138243.83404977538
1413,146828.36276190044
1722,239087.35191372863
1112,214912.35363596052
1623,209867.56065185028
1201,175055.08527400275
1513,103762.48066255139
957,288478.84314858116
1171,264091.49516524014
1145,190117.4354911802
2726,239140.1848997864
703,131032.13505697245
760,109308.41827517429
1964,165624.69035961587
2512,194622.0076193097
159,156544.74551477347
1281,183196.85849267896
468,171219.25903542657
290,152864.05393003198
665,96280.19803017277
1463,245797.95508471166
1792,241678.04413359796
923,160022.96328771283
500,285488.1770837601
1408,170519.154514957
331,55866.19458493474
170,154550.67602552986
2192,78530.12078385966
2571,231212.47484575748
2314,175859.4195727175
2647,83789.02228235538
422,394817.9313851149
2457,335017.8639383355
1838,185686.51990590047
2805,236373.72006352828
1645,174330.36475112897
1711,315229.1003013358
2825,246185.86187838446
322,311560.0330142111
2103,260924.6617868251
342,124959.66924304455
600,131540.4792278874
488,175576.62240508714
1725,310482.91288994416
2246,311019.10289775586
2847,165933.01000583934
806,242627.9355651053
530,228323.7355348237
963,193009.85705496662
2678,100053.49409499914
171,54021.52920592614
2401,420328.9902620178
805,230645.85760895972
2259,287646.9046207906
1748,193713.49232609168
1361,157224.6680133295
1677,110262.22962924669
1406,172225.55458154128
2322,230967.12427334546
688,158689.8971959059
143,151232.4846945714
804,202989.52181575645
1214,147932.88675903002
2828,142026.88139592102
1999,201402.87079080896
2467,205424.4125168771
2665,177391.3011336645
1538,383523.56478910695
398,115977.73291321825
2822,137967.58593773807
2157,136843.4426724916
1856,173730.89257461127
1269,112120.25711480313
2570,106639.11729545421
2320,232695.867386128
1517,141523.44454519422
2304,114270.9075298285
1312,91198.84585633711
2012,130519.09510336543
506,227120.18083168892
2865,211909.26424664585
2367,98238.68036159281
554,78209.04163342775
238,124962.9323856389
1954,109422.58903754556
2488,140099.3357553079
2291,73803.65759296496
1969,94621.69546422026
2725,193588.86894170055
1482,136544.20820244384
2763,209527.8764223161
503,260478.3216804467
1584,266346.2530563883
1531,155114.29840498723
2210,183206.38875684826
459,330807.6984074065
556,140294.70625737688
1347,136070.14839313252
1290,69972.49135933048
1388,91135.8155153969
1571,215274.29664101178
2754,205242.47156930476
765,128980.23169129023
2494,118278.23796762447
2870,227611.22359668146
7,224190.3581747583
1114,251687.764516183
2418,273776.790827579
291,111407.07971251209
18,323515.31475995464
39,377222.08090121654
1001,256218.89767907327
2442,235782.52561909592
616,128189.0126440734
2680,58726.44434467357
1414,120427.13965475242
289,141343.35637187673
40,283342.5965645992
860,141729.7600308499
409,146158.33227539438
673,171515.70297269872
2427,181373.50181962037
2036,226617.47092147206
2564,124156.5940856956
642,166150.15050813791
1008,175815.63131202536
1908,147205.73243398438
2519,204331.91598096443
1369,107540.03107347598
2855,186241.7223002467
712,102018.07125603227
1943,114468.22123490446
1958,127934.63444882563
107,170023.1814718031
2295,216151.30561267643
704,85969.56748288355
676,125580.16627821926
